50,0,2,0,40,2,1,3,0,1,0,0,549,311.908807482463,27,433,306,0,0,1,0
1,0,2,2,40,2,1,5,0,1,1,1,281,399,457,681,776,21,21,0,1
2,0,2,3,40,2,1,3,0,1,1,0,627,331,283,899,522,12,12,1,0
1002,6,3,0,24,2,0,3,0,1,0,0,560,311.908807482463,13,467,326,0,0,1,0
2022,13,0,0,9,1,1,3,0,1,0,0,525,311.908807482463,25,309,216,0,0,1,0
4,0,2,1,40,2,0,0,0,1,0,0,781,311.908807482463,104,305,429,1,1,1,0
7,0,0,2,42,2,0,2,0,1,1,1,614,183,451,561,918,1,1,0,0
16,0,0,3,42,2,1,6,1,2,1,2,16,0,290,925,508,1,1,0,0
8,0,0,3,42,2,0,1,0,1,1,0,690,491,330,1006,494,21,21,0,1
17,0,0,0,42,2,0,2,0,1,0,1,207,311.908807482463,69,389,307,1,1,1,0
10,0,2,3,40,2,1,3,0,1,1,0,627,331,283,899,522,21,21,0,1
11,0,2,2,40,2,1,1,0,1,1,0,461,202,450,520,921,15,15,1,0
12,0,2,2,40,2,0,4,0,0,1,1,113,437,445,761,677,15,15,1,0
13,0,0,2,42,2,1,0,0,1,1,0,122,210,420,513,968,11,11,1,0
18,0,0,2,42,2,0,6,1,2,1,2,614,93,315,637,803,1,1,0,0
15,0,0,2,42,2,1,5,0,1,1,1,364,440,465,700,740,21,21,0,1
19,0,2,3,40,2,1,6,1,2,1,2,12,0,297,676,755,1,1,0,0
29,0,2,3,40,2,1,5,0,0,1,1,837,132,344,659,869,1,1,0,0
35,0,0,0,42,2,0,2,0,1,0,1,83,311.908807482463,64,364,268,1,1,0,0
39,0,0,0,42,2,1,1,0,0,0,0,589,311.908807482463,118,416,322,1,1,1,0
52,0,0,0,42,2,1,6,1,2,0,2,59,311.908807482463,82,289,250,1,1,1,0
53,0,0,0,42,2,0,4,0,1,0,1,167,311.908807482463,78,442,339,1,1,1,0
22,0,0,3,42,2,1,5,0,0,1,1,495,286,336,868,595,21,21,0,1
57,0,2,2,40,2,1,0,0,1,1,0,68,298,418,493,993,1,1,0,0
24,0,0,2,42,2,0,4,0,0,1,1,97,293,444,740,715,15,15,1,0
25,0,0,2,42,2,0,1,0,1,1,0,386,268,449,556,941,15,15,1,0
59,0,0,2,42,2,1,5,0,1,1,1,199,525,475,755,711,1,1,0,0
27,0,0,0,42,2,0,2,0,1,0,1,207,311.908807482463,69,389,307,11,11,1,0
60,0,0,2,42,2,0,5,0,1,1,1,20,155,324,938,369,1,1,0,0
62,0,3,3,41,2,0,1,0,1,1,0,431,642,316,902,512,1,1,0,0
30,0,0,2,42,2,0,2,0,1,1,1,486,279,447,573,916,21,21,0,1
31,0,2,3,40,2,1,4,0,1,1,1,447,203,328,707,706,21,21,0,1
32,0,2,2,40,2,1,0,0,1,1,0,141,206,411,502,979,21,21,0,1
33,0,2,2,40,2,1,0,0,1,1,0,141,206,411,502,979,21,21,0,1
65,0,0,2,42,2,1,2,0,1,1,1,383,0,303,957,180,1,1,0,0
66,0,0,0,42,2,1,0,0,1,0,0,321,311.908807482463,69,381,296,1,1,1,0
36,0,0,0,42,2,0,6,1,2,0,2,59,311.908807482463,82,289,250,13,13,1,0
67,0,0,2,42,2,1,2,0,1,1,1,83,69,429,529,928,1,1,0,0
71,0,2,3,40,2,1,1,0,1,1,0,614,642,318,1005,460,1,1,0,0
72,0,0,0,42,2,0,0,0,1,0,0,321,311.908807482463,69,381,296,1,1,1,0
80,0,0,1,42,2,0,2,0,1,0,1,808,311.908807482463,151,132,245,1,1,1,0
83,0,2,3,40,2,0,5,0,0,1,1,635,85,356,929,575,1,1,0,0
42,0,2,2,40,2,1,3,0,1,1,0,233,304,359,560,978,21,21,0,1
85,0,1,2,37,2,1,3,0,1,1,0,68,255,337,751,667,1,1,0,0
86,0,4,2,36,2,1,6,1,2,1,2,8,107,319,532,971,1,1,0,0
87,0,1,2,37,2,0,4,0,0,1,1,68,398,458,808,653,1,1,0,0
89,0,3,0,41,2,0,2,0,1,0,1,223,311.908807482463,70,406,306,1,1,1,0
98,0,1,0,37,2,0,2,0,1,0,1,235,311.908807482463,65,421,313,1,1,1,0
99,0,1,2,37,2,1,1,0,1,1,0,107,544,461,684,787,1,1,0,0
49,0,2,2,40,2,1,5,0,1,1,1,281,399,457,681,776,14,14,1,0
101,0,3,3,41,2,0,4,0,1,1,1,801,8,307,632,807,1,1,0,0
51,0,0,3,42,2,1,4,0,1,1,1,609,278,327,811,637,12,12,1,0
105,0,1,3,37,2,1,0,0,1,1,0,837,129,270,925,402,1,1,0,0
106,0,3,2,41,2,1,1,0,1,1,0,383,0,467,746,690,1,1,0,0
54,0,0,3,42,2,1,6,1,2,1,2,80,71,302,896,532,21,21,0,1
110,0,1,3,37,2,0,1,0,1,1,0,199,15,321,728,671,1,1,0,0
113,0,3,3,41,2,0,2,0,1,1,1,16,2,295,620,783,1,1,0,0
114,0,3,2,41,2,1,4,0,0,1,1,20,0,404,942,464,1,1,0,0
117,0,1,1,37,2,1,1,0,1,0,0,822,311.908807482463,146,247,393,1,1,1,0
118,0,1,1,37,2,1,0,0,1,0,0,440,311.908807482463,108,220,295,1,1,1,0
